,MODELS,VERSION,BRANDS,Fuel,MODEL_YEAR,RTO,Transmission,OWNER,KM_DRIVEN,Location,EMI,FINAL_PRICE,ACTUAL_PRICE,Discount_Amount,CAR_AGE
0,Dzire,VXI,Maruti,Petrol,2021,TS-15,Manual,1,17294,Hyderabad,13470,689000,689000,0,2
1,Ertiga,ZXI,Maruti,Petrol,2015,TS-08,Manual,1,96184,Hyderabad,12629,646000,674000,28000,8
2,Dzire,VXI,Maruti,Petrol,2020,TS-10,Manual,1,88126,Hyderabad,13138,672000,720000,48000,3
3,Baleno,ZETA CVT PETROL 1.2Automatic,Maruti,Petrol,2021,TS-13,Automatic,1,45356,Hyderabad,15912,836000,836000,0,2
4,Celerio,ZXI (O),Maruti,Petrol,2019,TS-34,Manual,2,84161,Hyderabad,9912,507000,539000,32000,4
5,Alto,LXI,Maruti,Petrol,2010,AP-09,Manual,1,55024,Hyderabad,3343,171000,183000,12000,13
6,K10,VXI,Maruti,Petrol,2015,TS-07,Manual,1,111046,Hyderabad,4399,225000,237000,12000,8
7,Dzire,VDI,Maruti,Diesel,2013,AP-13,Manual,1,99860,Hyderabad,8328,426000,466000,40000,10
8,800,LXI,Maruti,Petrol,2016,TS-07,Manual,2,60610,Hyderabad,4653,238000,267000,29000,7
9,Brezza,VDI,Maruti,Diesel,2019,TS-08,Manual,1,109271,Hyderabad,15190,777000,810000,33000,4
10,Ritz,VXI GENUS,Maruti,Petrol,2010,AP-09,Manual,1,63764,Hyderabad,5767,295000,295000,0,13
11,Baleno,ZETA PETROL 1.2,Maruti,Petrol,2018,TS-08,Manual,1,30525,Hyderabad,11984,613000,635000,22000,5
12,BREZZA,ZXI SMART HYBRID ,Maruti,Petrol,2023,TS-08,Manual,1,6604,Hyderabad,23945,1258000,1271000,13000,0
14,Swift,LXI,Maruti,Petrol,2021,TS-15,Manual,1,118937,Hyderabad,10850,555000,612000,57000,2
15,Swift,VXI,Maruti,Petrol,2013,AP-09,Manual,2,121617,Hyderabad,7194,368000,390000,22000,10
16,Brezza,ZDI,Maruti,Diesel,2017,TS-08,Manual,1,64285,Hyderabad,15380,808000,824000,16000,6
17,Dzire,ZDI AMTAutomatic,Maruti,Diesel,2016,TS-08,Automatic,1,85948,Hyderabad,12160,622000,669000,47000,7
18,Brezza,VDI,Maruti,Diesel,2018,TS-07,Manual,1,86219,Hyderabad,13900,711000,724000,13000,5
19,Dzire,VXI,Maruti,Petrol,2016,TS-08,Manual,1,87113,Hyderabad,10225,523000,544000,21000,7
20,i20,ASTA 1.2,Hyundai,Petrol,2013,AP-28,Manual,2,74743,Hyderabad,7527,385000,415000,30000,10
21,Xcent,SX 1.2 (O),Hyundai,Petrol,2014,TS-10,Manual,1,57782,Hyderabad,8700,445000,466000,21000,9
22,i20,MAGNA (O) 1.4 CRDI,Hyundai,Diesel,2011,AP-10,Manual,2,89927,Hyderabad,5455,279000,279000,0,12
23,i10,MAGNA 1.2,Hyundai,Petrol,2010,AP-29,Manual,1,69541,Hyderabad,4477,229000,229000,0,13
24,VENUE,SX PLUS 1.0 TURBO DCTAutomatic,Hyundai,Petrol,2019,TS-28,Automatic,1,94953,Hyderabad,18634,979000,1006000,27000,4
25,Eon,MAGNA +,Hyundai,Petrol,2017,TS-08,Manual,1,43914,Hyderabad,5357,274000,287000,13000,6
26,Eon,D-LITE+,Hyundai,Petrol,2012,AP-29,Manual,1,20073,Hyderabad,4379,224000,224000,0,11
27,i20,SPORTZ PLUS 1.2,Hyundai,Petrol,2020,TS-07,Manual,1,51216,Hyderabad,14936,764000,764000,0,3
28,Xing,GLS,Hyundai,Petrol,2010,AP-23,Manual,2,90566,Hyderabad,3812,195000,211000,16000,13
29,Eon,SPORTZ,Hyundai,Petrol,2016,TS-07,Manual,2,68336,Hyderabad,5650,289000,336000,47000,7
30,Verna,FLUIDIC 1.6 CRDI SX,Hyundai,Diesel,2014,TS-11,Manual,3,87449,Hyderabad,10968,561000,578000,17000,9
31,Elantra,1.6 SX (O) AT DIESELAutomatic,Hyundai,Diesel,2018,TS-07,Automatic,1,81405,Hyderabad,23298,1224000,1368000,144000,5
32,Eon,ERA +,Hyundai,Petrol,2013,AP-28,Manual,1,89895,Hyderabad,4379,224000,242000,18000,10
33,i10,MAGNA 1.2,Hyundai,Petrol,2013,AP-36,Manual,1,72473,Hyderabad,5846,299000,333000,34000,10
34,Verna,SX 1.5 VTVT,Hyundai,Petrol,2021,TS-15,Manual,1,19076,Hyderabad,19921,1046600,1090000,43400,2
35,Verna,1.6 CRDI SX + ATAutomatic,Hyundai,Diesel,2019,TS-13,Automatic,2,67370,Hyderabad,19472,1023000,1098000,75000,4
36,VENUE,SX 1.0 TURBO IMT,Hyundai,Petrol,2022,TS-07,Manual,1,15817,Hyderabad,19072,1002000,1030000,28000,1
37,Eon,MAGNA +,Hyundai,Petrol,2013,AP-13,Manual,1,91568,Hyderabad,4575,234000,245000,11000,10
38,Verna,1.6 VTVT SX,Hyundai,Petrol,2017,TS-09,Manual,1,30811,Hyderabad,15425,789000,883000,94000,6
39,i10,SPORTZ 1.1,Hyundai,Petrol,2014,TS-09,Manual,1,87773,Hyderabad,6393,327000,340000,13000,9
40,Amaze,1.2L I-VTEC SX,Honda,Petrol,2015,TS-07,Manual,2,80687,Hyderabad,8504,435000,435000,0,8
41,Amaze,1.2L I-VTEC VX,Honda,Petrol,2019,TS-07,Manual,1,54042,Hyderabad,13040,667000,751000,84000,4
42,City,1.5L I-DTEC S,Honda,Diesel,2015,TS-09,Manual,2,90445,Hyderabad,9169,469000,492000,23000,8
43,WR-V,1.2 i-VTEC VX MT,Honda,Petrol,2018,TS-36,Manual,2,27581,Hyderabad,12805,655000,852000,197000,5
44,Amaze,1.2L I-VTEC S,Honda,Petrol,2015,TS-16,Manual,2,76438,Hyderabad,8133,416000,463000,47000,8
45,City,1.5L I-VTEC VX CVTAutomatic,Honda,Petrol,2017,TS-09,Automatic,1,59261,Hyderabad,19129,1005000,1026000,21000,6
46,City,1.5L I-VTEC V MT,Honda,Petrol,2014,TS-07,Manual,2,109832,Hyderabad,9071,464000,525000,61000,9
47,Amaze,1.2L I-VTEC S,Honda,Petrol,2019,TS-13,Manual,2,37566,Hyderabad,12160,622000,647000,25000,4
48,Amaze,1.2L I-VTEC S,Honda,Petrol,2021,TS-07,Manual,1,16925,Hyderabad,13802,706000,750000,44000,2
49,Civic,1.6L I-DTEC VX MT,Honda,Diesel,2019,TS-10,Manual,1,48114,Hyderabad,29255,1537000,1605000,68000,4
50,Brio,VX MT,Honda,Petrol,2015,TS-15,Manual,2,82956,Hyderabad,6843,350000,367000,17000,8
51,Brio,S MT,Honda,Petrol,2012,AP-11,Manual,2,95178,Hyderabad,5220,267000,292000,25000,11
52,City,1.5L I-VTEC SV CVTAutomatic,Honda,Petrol,2014,AP-13,Automatic,2,62015,Hyderabad,10655,545000,622000,77000,9
53,Brio,S MT,Honda,Petrol,2016,TS-10,Manual,2,54515,Hyderabad,7390,378000,419000,41000,7
54,Brio,VX ATAutomatic,Honda,Petrol,2013,AP-10,Automatic,1,70687,Hyderabad,7585,388000,405000,17000,10
55,City,1.5L I-DTEC VX,Honda,Diesel,2014,TS-09,Manual,2,79189,Hyderabad,10381,531000,572000,41000,9
56,City,1.5L I-DTEC V,Honda,Diesel,2018,TS-32,Manual,1,75410,Hyderabad,15912,836000,853000,17000,5
57,City,1.5L I-VTEC E MT,Honda,Petrol,2012,AP-10,Manual,3,88471,Hyderabad,8055,412000,453000,41000,11
58,Amaze,1.2L I-VTEC VX,Honda,Petrol,2018,TS-13,Manual,1,44996,Hyderabad,12649,647000,655000,8000,5
59,Jazz,1.2L I-VTEC S ATAutomatic,Honda,Petrol,2016,TS-11,Automatic,1,40404,Hyderabad,10753,550000,598000,48000,7
60,Kwid,CLIMBER 1.0 (O),Renault,Petrol,2020,TS-28,Manual,2,49893,Hyderabad,8680,444000,470000,26000,3
61,Kwid,RXL 1.0 AMTAutomatic,Renault,Petrol,2017,TS-07,Automatic,1,24092,Hyderabad,7351,376000,388000,12000,6
62,Kwid,RXT 1.0,Renault,Petrol,2017,TS-08,Manual,1,65192,Hyderabad,5728,293000,309000,16000,6
63,Kwid,RXT 0.8 (O),Renault,Petrol,2016,TS-09,Manual,2,42203,Hyderabad,5670,290000,307000,17000,7
64,Duster,85 PS RXL DIESEL,Renault,Diesel,2012,TS-09,Manual,1,67879,Hyderabad,7488,383000,405000,22000,11
65,Kwid,RXT 1.0,Renault,Petrol,2017,TS-10,Manual,1,29011,Hyderabad,6510,333000,346000,13000,6
66,Kwid,RXT 1.0 (O),Renault,Petrol,2016,TS-07,Manual,2,41832,Hyderabad,5787,296000,317000,21000,7
67,Kwid,RXT,Renault,Petrol,2019,TS-11,Manual,2,44363,Hyderabad,7273,372000,451000,79000,4
68,Duster,85 PS RXL DIESEL (OPT),Renault,Diesel,2013,AP-12,Manual,1,76134,Hyderabad,7976,408000,432000,24000,10
69,Kwid,RXT 1.0 AMT (O)Automatic,Renault,Petrol,2018,TS-08,Automatic,1,48556,Hyderabad,7566,387000,405000,18000,5
70,Kwid,1.0 MARVEL CAPTAIN AMERICA EDITION AMTAutomatic,Renault,Petrol,2018,TS-07,Automatic,2,74542,Hyderabad,7605,389000,419000,30000,5
71,TRIBER,RXZ,Renault,Petrol,2019,TS-03,Manual,1,66518,Hyderabad,12258,627000,637000,10000,4
72,Kwid,RXT 1.0,Renault,Petrol,2018,TS-07,Manual,1,84020,Hyderabad,6628,339000,346000,7000,5
73,Kwid,CLIMBER 1.0 AMTAutomatic,Renault,Petrol,2018,TS-09,Automatic,1,37830,Hyderabad,8074,413000,418000,5000,5
74,TRIBER,RXT AMTAutomatic,Renault,Petrol,2022,TS-07,Automatic,1,29302,Hyderabad,15054,770000,830000,60000,1
75,Kwid,RXT 1.0,Renault,Petrol,2017,TS-08,Manual,2,39992,Hyderabad,6530,334000,348000,14000,6
76,TRIBER,RXL MT,Renault,Petrol,2022,TS-08,Manual,1,39316,Hyderabad,13177,674000,694000,20000,1
77,Kwid,CLIMBER 1.0,Renault,Petrol,2019,TS-10,Manual,2,36221,Hyderabad,7957,407000,418000,11000,4
78,Kwid,CLIMBER MT 1.0,Renault,Petrol,2022,TS-07,Manual,1,6580,Hyderabad,10792,552000,604000,52000,1
79,Kwid,RXT 1.0 EASY-R  ATAutomatic,Renault,Petrol,2018,TS-08,Automatic,1,97709,Hyderabad,7644,391000,425000,34000,5
80,Tiago,XZ PETROL,Tata,Petrol,2017,TS-11,Manual,1,38500,Hyderabad,8524,436000,436000,0,6
81,TIGOR,XZ (O) PETROL,Tata,Petrol,2017,TS-08,Manual,1,94797,Hyderabad,9580,490000,504000,14000,6
82,Safari,XZA PLUSAutomatic,Tata,Diesel,2021,TS-07,Automatic,1,39163,Hyderabad,38144,2004000,2056000,52000,2
83,Safari,XT PLUS,Tata,Diesel,2021,TS-15,Manual,1,31083,Hyderabad,33234,1746000,1982000,236000,2
84,NEXON,XM SUNROOF PETROL,Tata,Petrol,2021,TS-35,Manual,1,44641,Hyderabad,16369,860000,896000,36000,2
85,Tiago,XZA PETROLAutomatic,Tata,Petrol,2018,TS-08,Automatic,1,97982,Hyderabad,9716,497000,590000,93000,5
86,TIGOR,XZ PETROL,Tata,Petrol,2021,TS-07,Manual,1,14867,Hyderabad,12473,638000,687000,49000,2
87,Tiago,XZ PETROL,Tata,Petrol,2019,TS-08,Manual,1,40689,Hyderabad,10088,516000,550000,34000,4
88,ALTROZ,XZ PETROL,Tata,Petrol,2020,TS-08,Manual,2,41382,Hyderabad,13802,706000,804000,98000,3
89,ALTROZ,XT I-TURBO PETROL,Tata,Petrol,2021,TS-08,Manual,1,12280,Hyderabad,14545,744000,857000,113000,2
90,Tiago,XZ PETROL,Tata,Petrol,2018,TS-08,Manual,3,57380,Hyderabad,9619,492000,516000,24000,5
91,NEXON,XM SUNROOF PETROL,Tata,Petrol,2022,TS-24,Manual,1,49091,Hyderabad,16788,882000,911000,29000,1
92,ALTROZ,XZ 1.5 RTQ,Tata,Diesel,2021,TS-17,Manual,1,61626,Hyderabad,15817,831000,987000,156000,2
93,Tiago,XT PETROL,Tata,Petrol,2021,TS-07,Manual,1,30224,Hyderabad,11359,581000,624000,43000,2
94,NEXON,XZ PLUS DIESEL DARK EDITION,Tata,Diesel,2022,TS-08,Manual,1,55420,Hyderabad,21375,1123000,1183000,60000,1
95,NEXON,XMA PLUS SUNROOF PETROLAutomatic,Tata,Petrol,2022,TS-27,Automatic,1,17400,Hyderabad,19034,1000000,1044000,44000,1
96,ALTROZ,XT I-TURBO PETROL,Tata,Petrol,2021,TS-09,Manual,2,31750,Hyderabad,14584,746000,810000,64000,2
97,Tiago,XZA PLUS DUAL TONE PETROLAutomatic,Tata,Petrol,2021,TS-07,Automatic,2,15606,Hyderabad,15073,771000,777000,6000,2
98,NEXON,XM DIESEL,Tata,Diesel,2022,TS-07,Manual,1,11254,Hyderabad,18596,977000,1017000,40000,1
99,NEXON,XZ PLUS PETROL DUAL TONE,Tata,Petrol,2019,TS-09,Manual,2,48951,Hyderabad,15227,800000,816000,16000,4
100,Go,T,Datsun,Petrol,2017,TS-09,Manual,1,72762,Hyderabad,5455,279000,326000,47000,6
101,Go,A,Datsun,Petrol,2019,TS-08,Manual,2,32329,Hyderabad,5611,287000,303000,16000,4
102,Go,T,Datsun,Petrol,2016,TS-10,Manual,1,67429,Hyderabad,5591,286000,305000,19000,7
103,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,TS-09,Automatic,1,34657,Hyderabad,6139,314000,321000,7000,5
104,Go,T (O),Datsun,Petrol,2017,TS-07,Manual,1,79958,Hyderabad,5318,272000,272000,0,6
105,Go,T,Datsun,Petrol,2017,TS-08,Manual,1,85298,Hyderabad,6002,307000,325000,18000,6
106,Go,T(O),Datsun,Petrol,2021,TS-11,Manual,1,24021,Hyderabad,9052,463000,472000,9000,2
107,Go,S,Datsun,Petrol,2017,TS-07,Manual,1,28545,Hyderabad,5826,298000,298000,0,6
108,Go,S 1.0 AMTAutomatic,Datsun,Petrol,2018,TS-09,Automatic,1,16097,Hyderabad,6960,356000,363000,7000,5
109,Go,T (O),Datsun,Petrol,2017,TS-08,Manual,2,65094,Hyderabad,5337,273000,286000,13000,6
110,Go,T,Datsun,Petrol,2018,TS-08,Manual,1,67527,Hyderabad,6588,337000,346000,9000,5
111,Go,T,Datsun,Petrol,2018,TS-09,Manual,2,62680,Hyderabad,7312,374000,374000,0,5
112,Go,S,Datsun,Petrol,2019,TS-07,Manual,2,58547,Hyderabad,6667,341000,361000,20000,4
113,Plus,T,Datsun,Petrol,2021,TS-25,Manual,1,48957,Hyderabad,10987,562000,596000,34000,2
114,Plus,T,Datsun,Petrol,2018,TS-08,Manual,1,45955,Hyderabad,7976,408000,426000,18000,5
115,Go,T(O),Datsun,Petrol,2019,TS-22,Manual,1,64447,Hyderabad,8446,432000,444000,12000,4
116,Go,T (O),Datsun,Petrol,2018,TS-10,Manual,1,21411,Hyderabad,6530,334000,334000,0,5
117,Plus,T,Datsun,Petrol,2019,TS-07,Manual,3,62674,Hyderabad,8426,431000,448000,17000,4
118,Go,T (O),Datsun,Petrol,2020,TS-10,Manual,2,19205,Hyderabad,7859,402000,437000,35000,3
119,Go,1.0 T(O),Datsun,Petrol,2021,TS-08,Manual,1,18569,Hyderabad,8739,447000,483000,36000,2
120,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2014,TS-07,Manual,1,80147,Hyderabad,8661,443000,443000,0,9
121,Vento,COMFORTLINE DIESEL 1.6,Volkswagen,Diesel,2013,AP-10,Manual,2,110807,Hyderabad,7351,376000,395000,19000,10
122,Ameo,COMFORTLINE 1.0L,Volkswagen,Petrol,2019,TS-09,Manual,1,46451,Hyderabad,11105,568000,608000,40000,4
123,Polo,COMFORTLINE PLUS 1.0L MPI,Volkswagen,Petrol,2021,TS-07,Manual,1,30088,Hyderabad,14311,732000,772000,40000,2
124,Polo,HIGHLINE1.5L,Volkswagen,Diesel,2018,TS-08,Manual,2,66454,Hyderabad,14389,736000,758000,22000,5
125,Ameo,COMFORTLINE 1.0L,Volkswagen,Petrol,2019,TS-07,Manual,1,47495,Hyderabad,11359,581000,623000,42000,4
126,Polo,COMFORTLINE 1.0L TSI ATAutomatic,Volkswagen,Petrol,2021,TS-08,Automatic,1,23683,Hyderabad,15893,835000,840000,5000,2
127,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2017,TS-10,Manual,1,67547,Hyderabad,13079,669000,694000,25000,6
128,Ameo,HIGHLINE1.2L PLUS 16 ALLOY,Volkswagen,Petrol,2017,TS-09,Manual,1,67805,Hyderabad,11906,609000,622000,13000,6
129,Jetta,COMFORTLINE 1.4 TSI MT,Volkswagen,Petrol,2016,TS-09,Manual,1,17105,Hyderabad,22936,1205000,1330000,125000,7
130,Polo,1.0 GT TSI ATAutomatic,Volkswagen,Petrol,2021,TS-02,Automatic,2,51466,Hyderabad,18615,978000,987000,9000,2
131,Polo,COMFORTLINE 1.0L MPI,Volkswagen,Petrol,2019,TS-08,Manual,2,101306,Hyderabad,11417,584000,649000,65000,4
132,Ameo,HIGHLINE1.2L,Volkswagen,Petrol,2016,TS-08,Manual,1,97921,Hyderabad,10244,524000,561000,37000,7
133,Vento,HIGHLINE 1.5 ATAutomatic,Volkswagen,Diesel,2018,TS-15,Automatic,1,107492,Hyderabad,16959,891000,909000,18000,5
134,Ameo,TRENDLINE 1.0L,Volkswagen,Petrol,2018,TS-09,Manual,2,71413,Hyderabad,10420,533000,561000,28000,5
135,Vento,HIGHLINE PLUS 1.0L TSI,Volkswagen,Petrol,2020,TS-08,Manual,1,45949,Hyderabad,19224,1010000,1133000,123000,3
136,Polo,HIGHLINE PLUS 1.0L TSI ATAutomatic,Volkswagen,Petrol,2021,TS-08,Automatic,1,55053,Hyderabad,17607,925000,944000,19000,2
137,Polo,HIGHLINE1.2L,Volkswagen,Petrol,2012,AP-28,Manual,1,85408,Hyderabad,6628,339000,339000,0,11
138,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2016,TS-12,Manual,2,101124,Hyderabad,9971,510000,556000,46000,7
139,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-09,Manual,1,88695,Hyderabad,13490,690000,731000,41000,6
140,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-07,Manual,3,89576,Hyderabad,12962,663000,704000,41000,6
141,Ecosport,TREND 1.5L PETROL,Ford,Petrol,2017,TS-02,Manual,1,66159,Hyderabad,13118,671000,709000,38000,6
142,FREESTYLE,TITANIUM 1.5 DIESEL,Ford,Diesel,2020,TS-17,Manual,2,38278,Hyderabad,13822,707000,742000,35000,3
143,Ecosport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,Ford,Petrol,2021,TS-09,Manual,1,57250,Hyderabad,17778,934000,1011000,77000,2
144,Aspire,TITANIUM 1.2 PETROL,Ford,Petrol,2021,TS-09,Manual,1,29246,Hyderabad,13822,707000,746000,39000,2
145,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,TS-09,Manual,2,41108,Hyderabad,15494,814000,814000,0,5
146,Ecosport,TITANIUM 1.5L DIESEL,Ford,Diesel,2017,TS-08,Manual,1,116988,Hyderabad,13099,670000,720000,50000,6
147,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2018,TS-07,Manual,2,101721,Hyderabad,16693,877000,877000,0,5
148,FREESTYLE,FLAIR EDITION 1.2 PETROL,Ford,Petrol,2020,TS-08,Manual,1,33881,Hyderabad,14193,726000,788000,62000,3
149,Figo,TITANIUM BLU 1.5 DIESEL,Ford,Diesel,2020,TS-12,Manual,1,51625,Hyderabad,15171,776000,826000,50000,3
150,FREESTYLE,TITANIUM PLUS 1.2 PETROL,Ford,Petrol,2019,TS-36,Manual,1,44591,Hyderabad,12590,644000,677000,33000,4
151,Ecosport,TITANIUM + 1.5L DIESEL,Ford,Diesel,2019,TS-08,Manual,1,108632,Hyderabad,16560,870000,887000,17000,4
152,Ecosport,TITANIUM 1.5L PETROL,Ford,Petrol,2018,TS-07,Manual,1,39914,Hyderabad,15646,822000,857000,35000,5
153,Ecosport,TITANUIM + SE 1.5L PETROL,Ford,Petrol,2021,TS-09,Manual,1,14393,Hyderabad,18806,988000,1093000,105000,2
154,SONET,HTK PLUS 1.0 IMT,KIA,Petrol,2021,TS-08,Manual,1,19136,Hyderabad,17321,910000,964000,54000,2
155,SELTOS,HTX IVT 1.5 PETROLAutomatic,KIA,Petrol,2019,TS-15,Automatic,1,78396,Hyderabad,23640,1242000,1347000,105000,4
156,SELTOS,GTX PLUS 1.4 PETROL,KIA,Petrol,2020,TS-07,Manual,1,61289,Hyderabad,26514,1393000,1455000,62000,3
157,SELTOS,HTK PLUS 1.5 PETROL,KIA,Petrol,2021,TS-11,Manual,1,8844,Hyderabad,24562,1290399,1290399,0,2
158,SELTOS,HTX AT PETROLAutomatic,KIA,Petrol,2020,TS-07,Automatic,1,14519,Hyderabad,28092,1475899,1475899,0,3
159,SONET,HTK G1.2 MT,KIA,Petrol,2021,TS-07,Manual,1,11582,Hyderabad,16162,849099,849099,0,2
160,SELTOS,HTX AT PETROLAutomatic,KIA,Petrol,2020,TS-08,Automatic,1,32451,Hyderabad,28092,1475899,1475899,0,3
161,SELTOS,HTK 1.5 PETROL,KIA,Petrol,2020,TS-09,Manual,1,40421,Hyderabad,19948,1048000,1048000,0,3
162,SELTOS,HTK PLUS AT 1.5 DIESELAutomatic,KIA,Diesel,2020,TS-07,Automatic,1,58259,Hyderabad,24759,1300749,1460599,159850,3
163,SELTOS,1.5 GTX+ ATAutomatic,KIA,Diesel,2019,TS-12,Automatic,1,35424,Hyderabad,32230,1693299,1693299,0,4
164,Rapid,AMBITION 1.6 MPI MT,Skoda,Petrol,2016,TS-11,Manual,1,39153,Hyderabad,12375,633000,663000,30000,7
165,Rapid,STYLE TSI,Skoda,Petrol,2021,TS-09,Manual,1,15504,Hyderabad,18806,988000,1007000,19000,2
